fileName,maxDistence,minDistence,maxRating,minRating,webpullstatus,CategoryAlias,City,Latitude,Longitude,MaxQtyVotes,MinQtyVotes,PotentialMatches
BusinessSearchResults--Seattle WA--localflavor.json,4.0686755466760864E+04,3.432280176788308E+02,5E+00,2.5E+00,200,localflavor,Seattle WA,4.76062E+01,-1.223321E+02,1085,5,93
BusinessSearchResults--Seattle WA--localservices.json,4.660045921239537E+04,1.3820824069572635E+02,5E+00,1E+00,200,localservices,Seattle WA,4.76062E+01,-1.223321E+02,918,231,6500
BusinessSearchResults--Seattle WA--massmedia.json,3.3939913710220266E+04,1.3859104817170663E+02,5E+00,1E+00,200,massmedia,Seattle WA,4.76062E+01,-1.223321E+02,192,6,128
BusinessSearchResults--Seattle WA--nightlife.json,3.9693528404652825E+04,2.972730636083173E+02,4.5E+00,3.5E+00,200,nightlife,Seattle WA,4.76062E+01,-1.223321E+02,6292,1105,1800
BusinessSearchResults--Seattle WA--bars.json,3.9693528404652825E+04,2.972730636083173E+02,4.5E+00,3.5E+00,200,bars,Seattle WA,4.76062E+01,-1.223321E+02,6292,1105,1700
BusinessSearchResults--Seattle WA--danceclubs.json,4.849653161699666E+04,4.511742564524254E+02,5E+00,1E+00,200,danceclubs,Seattle WA,4.76062E+01,-1.223321E+02,425,1,35
BusinessSearchResults--Seattle WA--pets.json,4.120706696505178E+04,8.827824869686493E+02,5E+00,2E+00,200,pets,Seattle WA,4.76062E+01,-1.223321E+02,993,146,1700
BusinessSearchResults--Seattle WA--petservices.json,5.218683282418972E+04,8.827824869686493E+02,4.5E+00,2E+00,200,petservices,Seattle WA,4.76062E+01,-1.223321E+02,993,123,1200
BusinessSearchResults--Seattle WA--petstore.json,4.120706696505178E+04,1.1454530444272339E+03,5E+00,2E+00,200,petstore,Seattle WA,4.76062E+01,-1.223321E+02,200,76,266
BusinessSearchResults--Seattle WA--professional.json,4.171094033049194E+04,1.6756091277993416E+01,5E+00,1E+00,200,professional,Seattle WA,4.76062E+01,-1.223321E+02,621,78,4200
BusinessSearchResults--Seattle WA--lawyers.json,4.015870310581905E+04,2.0088193772556073E+02,5E+00,1.5E+00,200,lawyers,Seattle WA,4.76062E+01,-1.223321E+02,178,19,1100
